"Image","Cells","Conversion","Organoid","Cell","Sheath.length","Sheath.type","Sheath.number","Bridge.length","Cell.type","CellID","OrgID","Sheaths.percell","Tot.length"
"Image1","Cso2","Conv_1","Org_1","Cell_1",141.334,"Regular",1,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",49.088,"Regular",2,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",180.924,"Regular",3,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",192.107,"Regular",4,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",107.397,"Regular",5,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",1.748,"Regular",6,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",146.981,"Regular",7,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",83.446,"Regular",8,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",113.674,"Regular",9,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",125.154,"Regular",10,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",107.987,"Anchored",11,NA,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_1",80.431,"Bridged",12,8.367,"OLs with bridges","Cso2.Conv_1.Org_1.Cell_1","Cso2.Conv_1.Org_1",12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cell_2",237.904,"Regular",1,NA,"OLs without bridges","Cso2.Conv_1.Org_1.Cell_2","Cso2.Conv_1.Org_1",8,1134.983
"Image1","Cso2","Conv_1","Org_1","Cell_2",138.641,"Regular",2,NA,"OLs without bridges","Cso2.Conv_1.Org_1.Cell_2","Cso2.Conv_1.Org_1",8,1134.983
"Image1","Cso2","Conv_1","Org_1","Cell_2",112.231,"Regular",3,NA,"OLs without bridges","Cso2.Conv_1.Org_1.Cell_2","Cso2.Conv_1.Org_1",8,1134.983
"Image1","Cso2","Conv_1","Org_1","Cell_2",124.962,"Regular",4,NA,"OLs without bridges","Cso2.Conv_1.Org_1.Cell_2","Cso2.Conv_1.Org_1",8,1134.983
