"Image","Cells","Conversion","Organoid","OrgID","CellID","Cell.type","Mean.sheathlength","Bridge.length","Mean.Sheaths.percell","Tot.length"
"Image1","Cso2","Conv_1","Org_1","Cso2.Conv_1.Org_1","Cso2.Conv_1.Org_1.Cell_1","OLs with bridges",110.855916666667,8.367,12,1330.271
"Image1","Cso2","Conv_1","Org_1","Cso2.Conv_1.Org_1","Cso2.Conv_1.Org_1.Cell_2","OLs without bridges",141.872875,NA,8,1134.983
"Image10","Cso2","Conv_7","Org_1","Cso2.Conv_7.Org_1","Cso2.Conv_7.Org_1.Cell_2","OLs with bridges",73.55935,11.2173333333333,20,1471.187
"Image11","Cs25","Conv_9","Org_1","Cs25.Conv_9.Org_1","Cs25.Conv_9.Org_1.Cell_1","OLs with bridges",92.42675,3.282,16,1478.828
"Image12","Cs25","Conv_11","Org_1","Cs25.Conv_11.Org_1","Cs25.Conv_11.Org_1.Cell_1","OLs with bridges",113.6733,51.039,10,1136.733
"Image12","Cs25","Conv_11","Org_1","Cs25.Conv_11.Org_1","Cs25.Conv_11.Org_1.Cell_2","OLs without bridges",120.083,NA,5,600.415
"Image12","Cs25","Conv_11","Org_1","Cs25.Conv_11.Org_1","Cs25.Conv_11.Org_1.Cell_3","OLs without bridges",105.507333333333,NA,9,949.566
"Image13","Cs25","Conv_1","Org_2","Cs25.Conv_1.Org_2","Cs25.Conv_1.Org_2.Cell_3","OLs without bridges",79.5035555555556,NA,9,715.532
"Image13","Cs25","Conv_1","Org_2","Cs25.Conv_1.Org_2","Cs25.Conv_1.Org_2.Cell_4","OLs without bridges",86.9811333333333,NA,15,1304.717
"Image14","Cso2","Conv_2","Org_2","Cso2.Conv_2.Org_2","Cso2.Conv_2.Org_2.Cell_1","OLs with bridges",56.8444166666667,6.818,12,682.133
"Image15","Cso2","Conv_2","Org_2","Cso2.Conv_2.Org_2","Cso2.Conv_2.Org_2.Cell_2","OLs without bridges",94.3279090909091,NA,11,1037.607
"Image16","SHEF4","Conv_10","Org_1","SHEF4.Conv_10.Org_1","SHEF4.Conv_10.Org_1.Cell_2","OLs without bridges",68.3174,NA,10,683.174
"Image17","SHEF4","Conv_10","Org_2","SHEF4.Conv_10.Org_2","SHEF4.Conv_10.Org_2.Cell_1","OLs without bridges",99.149,NA,4,396.596
"Image17","SHEF4","Conv_10","Org_2","SHEF4.Conv_10.Org_2","SHEF4.Conv_10.Org_2.Cell_2","OLs without bridges",89.7284,NA,5,448.642
