Image,Cells,Conversion,Organoid,Cell,Length,sheath.type,Number,Bridge.length,Chain.length,Cell.type,CellID,OrgID,FREQ.SHEATH,Tot.length
Image1,Cso2,Conv_1,Org_1,Cell_1,141.334,Non-Bridged sheaths sheaths,1,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,49.088,Non-Bridged sheaths sheaths,2,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,180.924,Non-Bridged sheaths sheaths,3,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,192.107,Non-Bridged sheaths sheaths,4,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,107.397,Non-Bridged sheaths sheaths,5,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,1.748,Non-Bridged sheaths sheaths,6,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,146.981,Non-Bridged sheaths sheaths,7,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,83.446,Non-Bridged sheaths sheaths,8,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,113.674,Non-Bridged sheaths sheaths,9,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,125.154,Non-Bridged sheaths sheaths,10,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,107.987,Anchoring sheaths,11,NA,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,80.431,Bridged sheaths,12,8.367,188.418,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,8.367,Bridge,,,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_1,188.418,Chain,,,,OLs with bridges,Cso2.Conv_1.Org_1.Cell_1,Cso2.Conv_1.Org_1,12,1330.271
Image1,Cso2,Conv_1,Org_1,Cell_2,237.904,Non-Bridged sheaths sheaths,1,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,138.641,Non-Bridged sheaths sheaths,2,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,112.231,Non-Bridged sheaths sheaths,3,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,124.962,Non-Bridged sheaths sheaths,4,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,187.693,Non-Bridged sheaths sheaths,5,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,135.214,Non-Bridged sheaths sheaths,6,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,88.039,Non-Bridged sheaths sheaths,7,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image1,Cso2,Conv_1,Org_1,Cell_2,110.299,Non-Bridged sheaths sheaths,8,NA,,OLs without bridges,Cso2.Conv_1.Org_1.Cell_2,Cso2.Conv_1.Org_1,8,1134.983
Image14,Cso2,Conv_2,Org_2,Cell_1,51.428,Non-Bridged sheaths sheaths,1,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,74.304,Non-Bridged sheaths sheaths,2,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
