Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(74738, 36770, 575)",,,,01 devPNB_01 at branch TTT,,,Line Strip,85898231fd099fb55ed185f9a7f6b722817a7940
"(74738, 36770, 575)","(74695, 37187, 616)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74695, 37187, 616)","(74723, 37534, 635)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74723, 37534, 635)","(74617, 37964, 645)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74617, 37964, 645)","(74383, 38959, 661)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74383, 38959, 661)","(74044, 39722, 678)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74044, 39722, 678)","(74007, 40853, 708)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74007, 40853, 708)","(74206, 42067, 715)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74206, 42067, 715)","(74394, 42672, 738)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74394, 42672, 738)","(74166, 43337, 721)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74166, 43337, 721)","(74093, 44320, 742)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74093, 44320, 742)","(74054, 45876, 787)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74054, 45876, 787)","(74359, 47039, 804)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74359, 47039, 804)","(74707, 48532, 750)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74707, 48532, 750)","(75055, 49623, 725)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(75055, 49623, 725)","(74964, 49766, 732)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(74964, 49766, 732)","(74917, 49790, 732)",,,,,85898231fd099fb55ed185f9a7f6b722817a7940,Line,
"(98837, 50494, 856)",,,,02 devPNB_21 TTT at branch,,,Line Strip,db10f06900ff437814b4ad74b06deae0dd5bf2b4
"(98837, 50494, 856)","(98908, 51101, 992)",,,,,db10f06900ff437814b4ad74b06deae0dd5bf2b4,Line,
"(98908, 51101, 992)","(98965, 51017, 1117)",,,,,db10f06900ff437814b4ad74b06deae0dd5bf2b4,Line,
"(98965, 51017, 1117)","(99212, 51126, 1230)",,,,,db10f06900ff437814b4ad74b06deae0dd5bf2b4,Line,
"(99212, 51126, 1230)","(99000, 51338, 1316)",,,,,db10f06900ff437814b4ad74b06deae0dd5bf2b4,Line,
"(99000, 51338, 1316)","(99084, 51486, 1441)",,,,,db10f06900ff437814b4ad74b06deae0dd5bf2b4,Line,
"(99084, 51486, 1441)","(99139, 51513, 1443)",,,,,db10f06900ff437814b4ad74b06deae0dd5bf2b4,Line,
"(97876, 47291, 520)",,,,04 TTT,,,Line Strip,7d4d15f439921fd9e58b635951e4cef6f95ae430
"(97876, 47291, 520)","(98493, 46988, 579)",,,,,7d4d15f439921fd9e58b635951e4cef6f95ae430,Line,
"(98493, 46988, 579)","(99053, 46648, 651)",,,,,7d4d15f439921fd9e58b635951e4cef6f95ae430,Line,
"(99053, 46648, 651)","(99021, 46308, 718)",,,,,7d4d15f439921fd9e58b635951e4cef6f95ae430,Line,
"(99021, 46308, 718)","(99679, 45681, 837)",,,,,7d4d15f439921fd9e58b635951e4cef6f95ae430,Line,
"(99679, 45681, 837)","(100422, 45356, 959)",,,,,7d4d15f439921fd9e58b635951e4cef6f95ae430,Line,
"(100422, 45356, 959)","(100765, 45207, 1033)",,,,,7d4d15f439921fd9e58b635951e4cef6f95ae430,Line,
"(97754, 63700, 1185)",,,,"05 TTT
mVe_2",,,Line Strip,c69ee69e69d2586bd7e53ad6e9400a01c69683af
"(97754, 63700, 1185)","(97622, 64460, 1208)",,,,,c69ee69e69d2586bd7e53ad6e9400a01c69683af,Line,
"(97622, 64460, 1208)","(97420, 65223, 1157)",,,,,c69ee69e69d2586bd7e53ad6e9400a01c69683af,Line,
"(97420, 65223, 1157)","(96980, 65555, 1139)",,,,,c69ee69e69d2586bd7e53ad6e9400a01c69683af,Line,
"(96980, 65555, 1139)","(96845, 65871, 1132)",,,,,c69ee69e69d2586bd7e53ad6e9400a01c69683af,Line,
"(97944, 63501, 1188)",,,,06 devPNB_22 TTT at branch,,,Line Strip,252032cc1fe54b2b2982376efdc73aada1ebd6a0
"(97944, 63501, 1188)","(98278, 62742, 1204)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(98278, 62742, 1204)","(98547, 61559, 1275)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(98547, 61559, 1275)","(98800, 61009, 1358)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(98800, 61009, 1358)","(99028, 61146, 1442)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(99028, 61146, 1442)","(99181, 61997, 1554)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(99181, 61997, 1554)","(99161, 62831, 1629)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(99161, 62831, 1629)","(99352, 63450, 1696)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(99352, 63450, 1696)","(99346, 63599, 1729)",,,,,252032cc1fe54b2b2982376efdc73aada1ebd6a0,Line,
"(85552, 46344, 534)",,,,"07 devPNB_03 TTT at branch
mVe_03",,,Line Strip,29747147b0b5a55b77514dea4b937daf9b770f39
"(85552, 46344, 534)","(85565, 47276, 567)",,,,,29747147b0b5a55b77514dea4b937daf9b770f39,Line,
"(85565, 47276, 567)","(85176, 48364, 620)",,,,,29747147b0b5a55b77514dea4b937daf9b770f39,Line,
"(85176, 48364, 620)","(84817, 49770, 642)",,,,,29747147b0b5a55b77514dea4b937daf9b770f39,Line,
"(84817, 49770, 642)","(85012, 51315, 676)",,,,,29747147b0b5a55b77514dea4b937daf9b770f39,Line,
"(85012, 51315, 676)","(85215, 52884, 667)",,,,,29747147b0b5a55b77514dea4b937daf9b770f39,Line,
"(85215, 52884, 667)","(85335, 53229, 664)",,,,,29747147b0b5a55b77514dea4b937daf9b770f39,Line,
"(98002, 47732, 1144)",,,,08 TTT AIT,,,Line Strip,afd98a488e54f5a327aa8a49b41ea1c529f98577
"(98002, 47732, 1144)","(97258, 47984, 1084)",,,,,afd98a488e54f5a327aa8a49b41ea1c529f98577,Line,
"(97258, 47984, 1084)","(96592, 48253, 1010)",,,,,afd98a488e54f5a327aa8a49b41ea1c529f98577,Line,
"(96592, 48253, 1010)","(95958, 48710, 944)",,,,,afd98a488e54f5a327aa8a49b41ea1c529f98577,Line,
"(95958, 48710, 944)","(95629, 49049, 893)",,,,,afd98a488e54f5a327aa8a49b41ea1c529f98577,Line,
"(92234, 40407, 1466)",,,,09 devPNB_06 TTT across 2 branches AIT,,,Line Strip,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c
"(92234, 40407, 1466)","(93171, 40541, 1269)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93171, 40541, 1269)","(93379, 40767, 1101)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93379, 40767, 1101)","(93623, 41356, 935)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93623, 41356, 935)","(93713, 41986, 799)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93713, 41986, 799)","(93865, 42519, 617)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93865, 42519, 617)","(93449, 42668, 469)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93449, 42668, 469)","(93471, 42641, 265)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(93471, 42641, 265)","(94034, 42744, 131)",,,,,c710f8bc3f1fc99a695919d08ce15633b3ef5b2c,Line,
"(100389, 55327, 1635)",,,,10 AIT,,,Line Strip,637fcc4004170ab743acae51ea32748d73a2e6d7
"(100389, 55327, 1635)","(100524, 56104, 1637)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(100524, 56104, 1637)","(100791, 56586, 1656)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(100791, 56586, 1656)","(100979, 56821, 1659)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(100979, 56821, 1659)","(100895, 57109, 1659)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(100895, 57109, 1659)","(100944, 58047, 1652)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(100944, 58047, 1652)","(101027, 58107, 1671)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(101027, 58107, 1671)","(101027, 58107, 1671)",,,,,637fcc4004170ab743acae51ea32748d73a2e6d7,Line,
"(97555, 70607, 651)",,,,11 AIT,,,Line Strip,edd5afd177f6d0b2b83ea68b247f4f0fede255ec
"(97555, 70607, 651)","(98239, 70285, 652)",,,,,edd5afd177f6d0b2b83ea68b247f4f0fede255ec,Line,
"(98239, 70285, 652)","(99108, 69841, 669)",,,,,edd5afd177f6d0b2b83ea68b247f4f0fede255ec,Line,
"(99108, 69841, 669)","(99818, 69400, 665)",,,,,edd5afd177f6d0b2b83ea68b247f4f0fede255ec,Line,
