file,nodeNumber,Perimeter,Angle,Length,diameter,branchStatus,bridgeStatus
06.png,6,1173.443,0,0,373.5185078,0,0
53b.png,53,1512.664,0,0,481.4959057,1,0
62b.png,62,1518.545,0,0,483.3678861,1,0
30b.png,30,1518.683,0,0,483.4118129,1,0
29pb.png,29,1583.219,0,0,503.9542597,1,1
03.png,3,1658.075,0,0,527.7816645,0,0
48b.png,48,1687.424,0,0,537.1237414,1,0
43p.png,43,1694.552,0,0,539.3926543,0,1
64b.png,64,1711.743,0,0,544.8647195,1,0
63b.png,63,1738.65,0,0,553.4294836,1,0
51pb.png,51,1760.31,0,0,560.3240757,1,1
47pb.png,47,1772.96,0,0,564.3506958,1,1
34b.png,34,1789.772,0,0,569.7021216,1,0
56b.png,56,1835.628,0,0,584.2985398,1,0
54b.png,54,1844.919,0,0,587.2559569,1,0
41.png,41,1901.917,0,0,605.3989838,0,0
09.png,9,1911.921,0,0,608.5833559,0,0
12pb.png,12,1926.606,0,0,613.2577366,1,1
58pb.png,58,1953.541,0,0,621.8314134,1,1
59b.png,59,1979.596,0,0,630.1249774,1,0
28.png,28,1985.848,0,0,632.1150509,0,0
37pb.png,37,2001.178,0,0,636.9947414,1,1
15pb.png,15,2003.206,0,0,637.6402739,1,1
40b.png,40,2008.87,0,0,639.4431811,1,0
31pb.png,31,2009.845,0,0,639.7535332,1,1
55b.png,55,0,20.1,652.805,652.805,1,0
65pb.png,65,2060.751,0,0,655.9574163,1,1
04b.png,4,2074.92,0,0,660.467549,1,0
05b.png,5,2090.091,0,0,665.2966283,1,0
01.png,1,2091.233,0,0,665.6601382,0,0
13.png,13,2092.125,0,0,665.9440706,0,0
23b.png,23,2098.741,0,0,668.0500088,1,0
67b.png,67,2101.257,0,0,668.8508765,1,0
27b.png,27,2126.174,0,0,676.7822039,1,0
36b.png,36,2138.455,0,0,680.6913677,1,0
08b.png,8,2185.177,0,0,695.5634422,1,0
46b.png,46,2236.684,0,0,711.9586295,1,0
38pb.png,38,2264.309,0,0,720.7519401,1,1
35b.png,35,2265.51,0,0,721.1342302,1,0
49b.png,49,2302.869,0,0,733.0259693,1,0
42b.png,42,2332.994,0,0,742.6150546,1,0
02pb.png,2,2333.193,0,0,742.6783983,1,1
39b.png,39,2344.25,0,0,746.1979507,1,0
52b.png,52,2366.332,0,0,753.2268696,1,0
11b.png,11,2390.374,0,0,760.8796759,1,0
16b.png,16,2401.91,0,0,764.5516987,1,0
68pb.png,68,2410.723,0,0,767.3569638,1,1
57b.png,57,0,-101.539,769.464,769.464,1,0
66b.png,66,2464.672,0,0,784.5294638,1,0
44b.png,44,2494.903,0,0,794.15229,1,0
61b.png,61,2510.486,0,0,799.1125129,1,0
10b.png,10,2521.212,0,0,802.5267048,1,0
26b.png,26,2523.95,0,0,803.3982372,1,0
50b.png,50,2526.966,0,0,804.3582599,1,0
19b.png,19,2557.932,0,0,814.2150438,1,0
45b.png,45,2576.846,0,0,820.235557,1,0
07b.png,7,2628.088,0,0,836.5463922,1,0
32b.png,32,2631.176,0,0,837.5293331,1,0
25p.png,25,2674.449,0,0,851.3035568,0,1
14pb.png,14,2844.367,0,0,905.390136,1,1
33b.png,33,2845.803,0,0,905.847229,1,0
24.png,24,2937.115,0,0,934.9127414,0,0
21b.png,21,3100.633,0,0,986.9621373,1,0
17pb.png,17,3195.45,0,0,1017.143326,1,1
22b.png,22,3207.134,0,0,1020.862459,1,0
60b.png,60,3209.079,0,0,1021.481571,1,0
20b.png,20,3426.565,0,0,1090.709515,1,0
18b.png,18,3724.114,0,0,1185.422303,1,0
